timestamp_ms,x_g,y_g,z_g,beat_event
107350,4.256740672922866,2.2640344853894865,3.691088731212329,0
107354,4.255397878995956,2.2610131990539406,3.690081635767147,0
107358,4.255901426718547,2.2729304951552605,3.688738841840238,0
107362,4.255397878995956,2.2621881437399862,3.69159227893492,0
107366,4.257076371404593,2.274105439841306,3.687060349431601,0
107370,4.251201647974365,2.3021362630655373,3.6889066910811015,0
107374,4.255230029755093,2.2803158617532615,3.6902494850080108,0
107378,4.25053025101091,2.296261539635309,3.6909208819714654,0
107381,4.258587014572366,2.28803692683299,3.6884031433585105,0
107385,4.254055085069047,2.258831158922713,3.6899137865262834,0
107389,4.258587014572366,2.289547570000763,3.6889066910811015,0
107393,4.254055085069047,2.2606775005722133,3.6904173342488744,0
107397,4.256404974441138,2.2749446860456244,3.688235294117647,0
107401,4.258083466849775,2.273266193636988,3.693606469825284,0
107405,4.256908522163729,2.2653772793163958,3.6902494850080108,0
107409,4.248348210879683,2.3031433585107193,3.689242389562829,0
107413,4.249019607843137,2.2873655298695352,3.688738841840238,0
107417,4.256404974441138,2.2831692988479437,3.690585183489738,0
107420,4.247508964675364,2.2861905851834896,3.6889066910811015,0
107424,4.256237125200275,2.272091248950942,3.6868925001907376,0
107428,4.257076371404593,2.2742732890821697,3.685717555504692,0
107432,4.252544441901274,2.299282825970855,3.6873960479133285,0
107436,4.254390783550774,2.2737697413595788,3.685717555504692,0
107440,4.2523765926604105,2.3034790569924466,3.6902494850080108,0
107444,4.255397878995956,2.2683985656519416,3.6902494850080108,0
107448,4.254390783550774,2.2601739528496223,3.6934386205844203,0
107452,4.255901426718547,2.267727168688487,3.6939421683070113,0
107456,4.253215838864729,2.297940032043946,3.6845426108186463,0
107460,4.278393224994278,2.2930724040588997,3.688570992599374,0
107463,4.256237125200275,2.270748455024033,3.6914244296940564,0
107467,4.254055085069047,2.255306324864576,3.688570992599374,0
107471,4.255901426718547,2.2658808270389867,3.6912565804531927,0
107475,4.254726482032502,2.2605096513313496,3.688738841840238,0
107479,4.257747768368048,2.2831692988479437,3.6835355153734644,0
