timestamp_ms,x_g,y_g,z_g,beat_event,ppg_raw
120594,-0.0017056681294598253,-0.003132154518654673,-0.002977867534728895,0,
120598,-0.0019868816049974924,-0.003517253759116823,-0.0038177411838596076,0,
120602,-0.0017216161457774826,0.0015060373153708007,-0.004074441991248956,0,
120606,-0.003600710377212768,0.004745349412685229,-0.0015358941043026875,0,
120609,-0.006711157589352479,0.00038603863191299936,0.0015741054081863382,0,
120613,-0.004358872592963192,-0.0005329340816424555,0.0002980309388919966,0,
120617,0.0009883616362824643,0.006583464239926506,-0.002850689190199762,0,
120621,0.0029357205025899447,0.016247894995509604,-0.00481878936064431,0,
120625,0.006301304091006599,0.01888494052894618,-0.005992056184336875,0,
120629,0.009743069251206049,0.010771188678523558,-0.005087418190419302,0,
120596,,,,0,138886
120606,,,,0,138917
120616,,,,0,138944
120626,,,,0,138968
120633,0.004954975535454875,0.0039062024608860213,0.001071623476181477,0,
120637,-0.0016288939830995108,0.0033804982620000423,0.006456481157524813,0,
120641,-0.0034448300678203703,0.0017010843826863464,0.0019967589796168195,0,
120645,-0.0037951382201834027,-0.001387681469592117,-0.006367073867211831,0,
120648,-0.003187852943915326,-0.0018211407403452284,-0.008539024948020862,0,
120652,-0.0006166201766804047,0.0009071207448054786,-0.0035229296347349115,0,
120656,0.0011533920685198318,0.007157609696531786,0.0026377248879409787,0,
120660,0.000394961148673989,0.010415957086796102,0.0035515393374000725,0,
120664,-0.0009692922451159935,0.007702489623998776,0.0002829342574362792,0,
120668,-0.0007691377587837334,0.009979041673604527,-0.0009364897469268663,0,
120672,-0.0007908521862639573,0.015424470326105055,-0.00018374698627623975,0,
120676,-0.0028651573448403855,0.008196030593402792,-0.005522937076715639,0,
120680,-0.004100094300401147,-0.008416578289233811,-0.014652237276224833,0,
120684,-0.0031744582209057848,-0.014226105503892139,-0.014707654129191533,0,
120688,-0.001606911166143421,-0.004656104369969327,-0.008050308114699756,0,
120691,-0.0003328431940561316,0.005542238439096181,-0.0033853782873637384,0,
120695,-0.002418480538206702,0.004124959263911432,-0.000735406094509089,0,
120699,-0.006655121240616957,-0.005738091633908926,-0.0011454991392453873,0,
120703,-0.005907885458181106,-0.011328383881614723,-0.004671113026204182,0,
120707,-0.0015625071628091458,-0.006001681659393743,-0.00614737526135431,0,
120711,0.0014855258496419,0.005317982788640929,-0.0037588999416048596,0,
120715,0.005496945860877789,0.007562799770038264,-0.0005876140499254112,0,
120719,0.009981584915211839,0.00347386774501679,0.0010927787289600754,0,
120723,0.008747132201347707,0.010937749388451046,-0.00016040321822616277,0,
120727,0.0038595104347398657,0.022139339050723184,-0.0029604809460779535,0,
120731,0.0003369855835089197,0.02301029320982373,-0.004712133320879303,0,
120734,-0.0011438310037874544,0.01615596906695993,-0.005792429625465195,0,
120738,0.0024653971774416528,0.009324730563737393,-0.006924910804825518,0,
120742,0.006524270962311229,0.00508223766747351,-0.006817566467932579,0,
120746,0.004056583340216635,0.004227833646227364,-0.005005583718463769,0,
120750,0.001505796803225934,-0.0003816174826947183,-0.003457414119365426,0,
120754,0.002284897559700183,-0.012391363740915207,-0.0026144629710070644,0,
120758,0.0011860515754320566,-0.018334795156188743,-0.0013619673765585816,0,
120762,-0.001577142801889031,-0.017136833113641448,0.0011062155977897281,0,
120636,,,,0,139007
120646,,,,0,139023
120656,,,,0,139036
120666,,,,0,139041
120676,,,,0,139059
120686,,,,0,139044
120696,,,,0,139083
120706,,,,0,139101
120716,,,,0,139149
120726,,,,0,139165
120736,,,,0,139213
120746,,,,0,139246
120756,,,,0,139257
120706,,,,1,
120766,-0.004475863187046847,-0.016609035643769143,0.002774564743175917,0,
120770,-0.005605930522682323,-0.017514748942308866,0.0018706513949216241,0,
120773,-0.002839602205205849,-0.015933808523186155,0.0022189165633365593,0,
120777,-1.502441922540676e-05,-0.006973294158570731,0.006033286018714418,0,
120781,-0.0004615110586468907,0.005783372540008269,0.008206609737822529,0,
120785,-0.006141902215011319,0.012053268487198121,0.00666835876271607,0,
120789,-0.013401640291352934,0.006704113433373848,0.004381455789152805,0,
120766,,,,0,139298
120776,,,,0,139298
120786,,,,0,139331
120793,-0.014132056113661529,-0.005497515340946002,-0.002626697179193477,0,
120797,-0.01157753136320705,-0.017736263526412888,-0.015607700105242761,0,
