timestamp_ms,x_g,y_g,z_g,beat_event
388962,-0.9692454413672084,-2.6646906233310443,0.11388570992599374,0
388966,-0.9613565270466162,-2.662844281681544,0.11187151903562981,0
388970,-0.9653849088273442,-2.661501487754635,0.1179140917067216,0
388974,-0.9660563057907988,-2.6630121309224077,0.11724269474326696,0
388978,-0.9653849088273442,-2.662844281681544,0.1195925841153582,0
388982,-0.9663920042725261,-2.6662012664988173,0.12059967956054017,0
388986,-0.9695811398489357,-2.6502555886167696,0.12479591058213169,0
388990,-0.9806591897459372,-2.6546196688792247,0.12160677500572213,0
388994,-0.9707560845349813,-2.6641870756084534,0.1281528953994049,0
388997,-0.9690775921263447,-2.6552910658426794,0.1328526741435874,0
389001,-0.9720988784618906,-2.6729152361333637,0.12865644312199587,0
389005,-0.9720988784618906,-2.6824826428625923,0.13134203097581446,0
389009,-0.9670634012359808,-2.6457236591134508,0.09844357976653696,0
389013,-0.9658884565499352,-2.6547875181200884,0.10851453421835659,0
389017,-0.9637064164187075,-2.651934081025406,0.1170748455024033,0
389021,-0.9647135118638895,-2.6527733272297245,0.11892118715190356,0
389025,-0.9605172808422979,-2.6522697795071335,0.11925688563363088,0
389029,-0.9660563057907988,-2.656466010528725,0.1289921416037232,0
389033,-0.9749523155565728,-2.65210193026627,0.12093537804226749,0
389036,-0.9702525368123903,-2.652437628747997,0.12194247348744945,0
389040,-0.9705882352941176,-2.6641870756084534,0.12076752880140383,0
389044,-0.9774700541695277,-2.68651102464332,0.12059967956054017,0
389048,-0.977302204928664,-2.6913786526283663,0.12009613183794918,0
389052,-0.9820019836728465,-2.686175326161593,0.12076752880140383,0
389056,-0.9818341344319829,-2.683154039826047,0.1284885938811322,0
389060,-0.9803234912642099,-2.6710688944838634,0.12362096589608605,0
389064,-0.9757915617608911,-2.668215457389181,0.12211032272831311,0
389068,-0.9754558632791638,-2.667879758907454,0.12026398107881284,0
389072,-0.9662241550316625,-2.660997940032044,0.12563515678645,0
389076,-0.9828412298771648,-2.685671778439002,0.13033493553063247,0
389079,-1.0132219424734874,-2.695910582131685,0.1417486839093614,0
389083,-0.9851911192492561,-2.6918822003509573,0.13939879453727017,0
389087,-0.9825055313954375,-2.6903715571831843,0.1320134279392691,0
389091,-0.9744487678339818,-2.6754329747463186,0.12630655374990463,0
389095,-0.9697489890897993,-2.652941176470588,0.12479591058213169,0
389099,-0.9707560845349813,-2.6571374074921796,0.10163271534294652,0
389103,-0.9643778133821621,-2.6477378500038147,0.11103227283131151,0
389107,-0.9670634012359808,-2.6296101319905394,0.09273670557717249,0
389111,-0.9668955519951171,-2.6220569161516747,0.11355001144426642,0
