timestamp_ms,x_g,y_g,z_g,beat_event
188941,-0.968909742885481,-2.642702372777905,-0.0863584344243534,0
188945,-0.9630350194552528,-2.635317006179904,-0.07561608300907911,0
188949,-0.957999542229343,-2.6331349660486763,-0.10012207217517356,0
188953,-0.9487678339818417,-2.620881971465629,-0.09441519798580911,0
188957,-0.9474250400549324,-2.611985961699855,-0.09525444419012741,0
188960,-0.9527962157625696,-2.620881971465629,-0.10146486610208286,0
188964,-0.9526283665217059,-2.6215533684290837,-0.1046540016784924,0
188968,-0.9548104066529335,-2.6247425040054932,-0.08937972075989929,0
188972,-0.9633707179369801,-2.6364919508659495,-0.10163271534294652,0
188976,-0.9573281452658884,-2.6331349660486763,-0.09374380102235447,0
188980,-0.9538033112077515,-2.6489127946898603,-0.09324025329976349,0
188984,-0.9569924467841611,-2.6289387350270847,-0.09642938887617303,0
188988,-0.9662241550316625,-2.64706645304036,-0.09978637369344624,0
188992,-0.957495994506752,-2.6289387350270847,-0.10633249408712901,0
188996,-0.9546425574120698,-2.6385061417563134,-0.10146486610208286,0
189000,-0.9712596322575723,-2.651934081025406,-0.10230411230640116,0
189003,-0.958503089951934,-2.6492484931715876,-0.09055466544594491,0
189007,-0.9569924467841611,-2.631288624399176,-0.08652628366521706,0
189011,-0.9514534218356603,-2.6131609063859007,-0.08283360036621652,0
189015,-0.950614175631342,-2.6311207751583123,-0.09021896696421759,0
189019,-0.9566567483024337,-2.623399710078584,-0.09810788128480964,0
189023,-0.9637064164187075,-2.6289387350270847,-0.08921187151903563,0
189027,-0.9613565270466162,-2.6472343022812237,-0.09005111772335393,0
189031,-0.9606851300831616,-2.650926985580224,-0.08954757000076295,0
189035,-0.9596780346379796,-2.642534523537041,-0.09475089646753643,0
189039,-0.9573281452658884,-2.6364919508659495,-0.11858548867017624,0
189042,-0.9611886778057526,-2.6546196688792247,-0.09844357976653696,0
189046,-0.9630350194552528,-2.638170443274586,-0.09961852445258258,0
189050,-0.9630350194552528,-2.6374990463111314,-0.08954757000076295,0
189054,-0.9620279240100709,-2.634309910734722,-0.09508659494926375,0
189058,-0.9568245975432974,-2.6222247653925383,-0.07897306782635233,0
189062,-0.9633707179369801,-2.6364919508659495,-0.09894712748912794,0
189066,-0.9684061951628901,-2.634645609216449,-0.09206530861371785,0
189070,-0.9635385671778438,-2.6410238803692683,-0.10650034332799267,0
189074,-0.9628671702143892,-2.6408560311284046,-0.09777218280308232,0
189078,-0.9620279240100709,-2.6398489356832227,-0.10616464484626535,0
189082,-0.9621957732509345,-2.6331349660486763,-0.09861142900740062,0
189085,-0.9586709391927977,-2.6398489356832227,-0.09475089646753643,0
189089,-0.9517891203173876,-2.6311207751583123,-0.09559014267185473,0
189093,-0.9583352407110703,-2.6311207751583123,-0.10028992141603722,0
189097,-0.9467536430914778,-2.6131609063859007,-0.09139391165026321,0
189101,-0.9551461051346608,-2.631792172121767,-0.08669413290608072,0
189105,-0.9539711604486152,-2.6309529259174487,-0.07712672617685207,0
189109,-0.9578316929884794,-2.6309529259174487,-0.09089036392767223,0
189113,-0.9551461051346608,-2.639681086442359,-0.08937972075989929,0
189117,-0.9563210498207064,-2.6153429465171283,-0.08971541924162661,0
189121,-0.9606851300831616,-2.635652704661631,-0.08820477607385366,0
189021,,,,1
189125,-0.9680704966811627,-2.644045166704814,-0.08350499732967116,0
189128,-0.9556496528572518,-2.6433737697413595,-0.11086442359044785,0
189132,-0.9593423361562523,-2.6368276493476768,-0.08619058518348974,0
189136,-0.9626993209735255,-2.6453879606317234,-0.09374380102235447,0
189140,-0.9566567483024337,-2.631288624399176,-0.09273670557717249,0
189144,-0.9601815823605706,-2.6306172274357214,-0.09240100709544517,0
189148,-0.9653849088273442,-2.649584191653315,-0.09894712748912794,0
189152,-0.9645456626230259,-2.6504234378576332,-0.09458304722667277,0
189156,-0.9559853513389791,-2.654451819638361,-0.09861142900740062,0
189160,-0.9578316929884794,-2.642702372777905,-0.1101930266269932,0
189164,-0.9544747081712062,-2.6408560311284046,-0.09156176089112687,0
189168,-0.9519569695582513,-2.629777981231403,-0.08971541924162661,0
189171,-0.9539711604486152,-2.6289387350270847,-0.09726863508049134,0
189175,-0.9645456626230259,-2.6405203326466773,-0.09441519798580911,0
189179,-0.9638742656595711,-2.652437628747997,-0.09508659494926375,0
189183,-0.9566567483024337,-2.634309910734722,-0.09223315785458151,0
189187,-0.9578316929884794,-2.6301136797131304,-0.09458304722667277,0
189191,-0.9522926680399786,-2.6176928358892195,-0.09374380102235447,0
189195,-0.9541390096894788,-2.6232318608377203,-0.09273670557717249,0
189199,-0.9564888990615701,-2.6186999313344015,-0.10331120775158312,0
189203,-0.9672312504768444,-2.630785076676585,-0.09290455481803617,0
189207,-0.9642099641412984,-2.6329671168078126,-0.09642938887617303,0
189210,-0.9662241550316625,-2.651430533302815,-0.08988326848249027,0
189214,-0.9635385671778438,-2.648073548485542,-0.09491874570840009,0
189218,-0.960013733119707,-2.650591287098497,-0.11774624246585794,0
189222,-0.9685740444037537,-2.6504234378576332,-0.10112916762035554,0
189226,-0.9593423361562523,-2.64018463416495,-0.11724269474326696,0
189230,-0.9591744869153886,-2.6390096894789044,-0.09726863508049134,0
189234,-0.9559853513389791,-2.649080643930724,-0.09441519798580911,0
189238,-0.9625314717326618,-2.651094834821088,-0.09458304722667277,0
189242,-0.9620279240100709,-2.6388418402380407,-0.09105821316853589,0
189246,-0.9648813611047532,-2.640688181887541,-0.09475089646753643,0
189250,-0.9558175020981154,-2.6556267643244067,-0.09475089646753643,0
189253,-0.9553139543755245,-2.64706645304036,-0.09424734874494545,0
189257,-0.957495994506752,-2.6280994888227664,-0.10045777065690088,0
189261,-0.9546425574120698,-2.638170443274586,-0.10180056458381018,0
189265,-0.9610208285648889,-2.643541618982223,-0.10750743877317463,0
189269,-0.9559853513389791,-2.6499198901350423,-0.10347905699244678,0
189273,-0.9559853513389791,-2.6578088044556343,-0.09340810254062715,0
189277,-0.9556496528572518,-2.6494163424124513,-0.09861142900740062,0
189281,-0.9526283665217059,-2.6304493781948577,-0.10196841382467384,0
189285,-0.9564888990615701,-2.620881971465629,-0.09307240405889983,0
189289,-0.959510185397116,-2.6250782024872206,-0.09626153963530937,0
189293,-0.9598458838788433,-2.64018463416495,-0.10045777065690088,0
189296,-0.960013733119707,-2.6512626840619515,-0.09508659494926375,0
189300,-0.9638742656595711,-2.652941176470588,-0.09693293659876402,0
189304,-0.9633707179369801,-2.6484092469672693,-0.09676508735790035,0
189308,-0.9588387884336613,-2.62826733806363,-0.11355001144426642,0
189312,-0.9679026474402991,-2.643038071259632,-0.09559014267185473,0
189316,-0.9591744869153886,-2.6390096894789044,-0.10079346913862822,0
189320,-0.959006637674525,-2.6304493781948577,-0.09508659494926375,0
189324,-0.9613565270466162,-2.6499198901350423,-0.0999542229343099,0
189328,-0.9613565270466162,-2.656969558251316,-0.10163271534294652,0
189332,-0.9677347981994354,-2.646059357595178,-0.10280766002899214,0
189335,-0.9625314717326618,-2.647570000762951,-0.09525444419012741,0
189339,-0.9543068589303425,-2.6349813076981765,-0.09256885633630883,0
189343,-0.957495994506752,-2.6217212176699474,-0.08921187151903563,0
189347,-0.9546425574120698,-2.6344777599755855,-0.09693293659876402,0
189351,-0.9499427786678873,-2.6284351873044938,-0.10247196154726482,0
189355,-0.9543068589303425,-2.626924544136721,-0.09810788128480964,0
189359,-0.9544747081712062,-2.6329671168078126,-0.0982757305256733,0
189363,-0.9531319142442969,-2.638170443274586,-0.09760433356221866,0
189367,-0.9521248187991149,-2.61953917753872,-0.09777218280308232,0
189371,-0.9583352407110703,-2.6247425040054932,-0.10566109712367437,0
189375,-0.9588387884336613,-2.6197070267795834,-0.11036087586785687,0
189378,-0.9647135118638895,-2.638673990997177,-0.0982757305256733,0
189382,-0.9764629587243457,-2.655458915083543,-0.07242694743266956,0
189386,-0.9637064164187075,-2.6492484931715876,-0.06739147020675974,0
189390,-0.9611886778057526,-2.6557946135652704,-0.08669413290608072,0
189394,-0.9514534218356603,-2.6286030365453574,-0.11539635309376668,0
189398,-0.9457465476462958,-2.610978866254673,-0.16558327611200122,0
189402,-0.9467536430914778,-2.600236514839399,-0.14829480430304418,0
189406,-0.9556496528572518,-2.6215533684290837,-0.1451056687266346,0
189410,-0.9601815823605706,-2.627931639581903,-0.1165712977798123,0
189414,-0.9653849088273442,-2.649080643930724,-0.09542229343099107,0
189418,-0.9736095216296635,-2.6462272068360417,-0.09240100709544517,0
189421,-0.9566567483024337,-2.6247425040054932,-0.0999542229343099,0
189425,-0.9469214923323415,-2.605104142824445,-0.09038681620508125,0
189429,-0.9472571908140688,-2.6067826352330816,-0.10280766002899214,0
189433,-0.9556496528572518,-2.626253147173266,-0.0863584344243534,0
189437,-0.9499427786678873,-2.6270923933775845,-0.09894712748912794,0
189441,-0.9611886778057526,-2.6428702220187685,-0.09475089646753643,0
189445,-0.9482642862592507,-2.61450370031281,-0.09928282597085526,0
189449,-0.9527962157625696,-2.6143358510719463,-0.10650034332799267,0
189453,-0.9645456626230259,-2.636156252384222,-0.09760433356221866,0
189457,-0.9717631799801633,-2.6573052567330433,-0.10079346913862822,0
189461,-0.9769665064469367,-2.6744258793011366,-0.09777218280308232,0
189464,-0.9720988784618906,-2.681643396658274,-0.1046540016784924,0
189468,-0.9705882352941176,-2.6745937285420003,-0.09877927824826428,0
189472,-0.9684061951628901,-2.6562981612878613,-0.09794003204394598,0
189476,-0.9668955519951171,-2.6385061417563134,-0.09861142900740062,0
189480,-0.9690775921263447,-2.6463950560769054,-0.10750743877317463,0
189484,-0.9650492103456169,-2.649080643930724,-0.11170366979476615,0
189488,-0.9682383459220264,-2.642702372777905,-0.11824979018844892,0
189492,-0.9613565270466162,-2.6566338597695887,-0.10666819256885633,0
189496,-0.9616922255283435,-2.6334706645304036,-0.10163271534294652,0
189500,-0.9667277027542535,-2.6630121309224077,-0.09877927824826428,0
189503,-0.9583352407110703,-2.644716563668269,-0.0999542229343099,0
189507,-0.9583352407110703,-2.6390096894789044,-0.1046540016784924,0
189511,-0.9601815823605706,-2.637163347829404,-0.10163271534294652,0
189515,-0.9613565270466162,-2.652437628747997,-0.09861142900740062,0
189519,-0.9502784771496147,-2.633806363012131,-0.10096131837949188,0
189523,-0.9541390096894788,-2.6252460517280842,-0.10398260471503776,0
189527,-0.9581673914702067,-2.6252460517280842,-0.10968947890440223,0
189531,-0.9640421149004348,-2.642198825055314,-0.0999542229343099,0
189535,-0.9556496528572518,-2.642198825055314,-0.10733958953231097,0
189539,-0.9596780346379796,-2.6354848554207675,-0.10700389105058365,0
189543,-0.9571602960250247,-2.6326314183260853,-0.10230411230640116,0
189546,-0.9539711604486152,-2.627428091859312,-0.10851453421835659,0
189550,-0.9554818036163881,-2.631792172121767,-0.09961852445258258,0
189554,-0.9514534218356603,-2.6215533684290837,-0.11388570992599374,0
189558,-0.9553139543755245,-2.635652704661631,-0.11086442359044785,0
189562,-0.9564888990615701,-2.6197070267795834,-0.10700389105058365,0
189566,-0.9499427786678873,-2.6227283131151293,-0.1046540016784924,0
189570,-0.9548104066529335,-2.6230640115968566,-0.10062561989776454,0
189574,-0.9625314717326618,-2.634142061493858,-0.1093537804226749,0
189578,-0.9556496528572518,-2.637666895551995,-0.1195925841153582,0
189582,-0.9610208285648889,-2.6420309758144502,-0.10062561989776454,0
189586,-0.9559853513389791,-2.6484092469672693,-0.10448615243762874,0
189589,-0.9613565270466162,-2.6601586938277255,-0.11220721751735713,0
189593,-0.9605172808422979,-2.65394827191577,-0.10901808194094759,0
189597,-0.9439002059967956,-2.6714045929655907,-0.11371786068513008,0
189601,-0.9573281452658884,-2.650087739375906,-0.1038147554741741,0
189605,-0.9601815823605706,-2.6373311970702678,-0.10868238345922025,0
189609,-0.9568245975432974,-2.62138551918822,-0.10582894636453803,0
189613,-0.9603494316014343,-2.6296101319905394,-0.1012970168612192,0
189617,-0.9546425574120698,-2.6368276493476768,-0.10415045395590142,0
189621,-0.9546425574120698,-2.638673990997177,-0.09592584115358205,0
189625,-0.9613565270466162,-2.6492484931715876,-0.10045777065690088,0
189628,-0.9499427786678873,-2.635820553902495,-0.10616464484626535,0
189632,-0.9568245975432974,-2.6230640115968566,-0.1021362630655375,0
189636,-0.9632028686961165,-2.6408560311284046,-0.10347905699244678,0
189640,-0.9632028686961165,-2.64706645304036,-0.09038681620508125,0
189644,-0.9663920042725261,-2.654955367360952,-0.10028992141603722,0
189648,-0.9675669489585718,-2.644548714427405,-0.10633249408712901,0
189652,-0.9658884565499352,-2.656466010528725,-0.1165712977798123,0
189656,-0.9675669489585718,-2.6487449454489966,-0.12328526741435873,0
189660,-0.9702525368123903,-2.652941176470588,-0.1165712977798123,0
189664,-0.9747844663157091,-2.6734187838559547,-0.1012970168612192,0
189668,-0.9715953307392996,-2.6641870756084534,-0.09542229343099107,0
189671,-0.9593423361562523,-2.6517662317845425,-0.08753337911039902,0
189675,-0.9454108491645685,-2.6062790875104906,-0.09659723811703669,0
189679,-0.9324864576180666,-2.627428091859312,-0.10599679560540169,0
189683,-0.9360112916762036,-2.6250782024872206,-0.11556420233463034,0
189687,-0.9447394522011139,-2.651430533302815,-0.11824979018844892,0
189691,-0.9685740444037537,-2.650087739375906,-0.11136797131303883,0
189695,-0.9621957732509345,-2.6385061417563134,-0.10733958953231097,0
189699,-0.9623636224917982,-2.634813458457313,-0.10498970016021973,0
189703,-0.9690775921263447,-2.639681086442359,-0.0991149767299916,0
189707,-0.9630350194552528,-2.635820553902495,-0.10733958953231097,0
189711,-0.970420386053254,-2.643205920500496,-0.10566109712367437,0
